[epoch:0, iter:262] avg_LOSS: 2.020 | avg_ACC: 25.775% 
[epoch:0, iter:263] avg_LOSS: 2.019 | avg_ACC: 25.817% 
[epoch:0, iter:264] avg_LOSS: 2.018 | avg_ACC: 25.845% 
[epoch:0, iter:265] avg_LOSS: 2.018 | avg_ACC: 25.845% 
[epoch:0, iter:266] avg_LOSS: 2.018 | avg_ACC: 25.887% 
[epoch:0, iter:267] avg_LOSS: 2.018 | avg_ACC: 25.895% 
[epoch:0, iter:268] avg_LOSS: 2.017 | avg_ACC: 25.910% 
[epoch:0, iter:269] avg_LOSS: 2.017 | avg_ACC: 25.941% 
[epoch:0, iter:270] avg_LOSS: 2.016 | avg_ACC: 25.963% 
[epoch:0, iter:271] avg_LOSS: 2.016 | avg_ACC: 25.959% 
[epoch:0, iter:272] avg_LOSS: 2.015 | avg_ACC: 25.993% 
[epoch:0, iter:273] avg_LOSS: 2.014 | avg_ACC: 26.029% 
[epoch:0, iter:274] avg_LOSS: 2.014 | avg_ACC: 26.051% 
[epoch:0, iter:275] avg_LOSS: 2.013 | avg_ACC: 26.087% 
[epoch:0, iter:276] avg_LOSS: 2.013 | avg_ACC: 26.109% 
[epoch:0, iter:277] avg_LOSS: 2.012 | avg_ACC: 26.116% 
[epoch:0, iter:278] avg_LOSS: 2.011 | avg_ACC: 26.158% 
[epoch:0, iter:279] avg_LOSS: 2.011 | avg_ACC: 26.151% 
[epoch:0, iter:280] avg_LOSS: 2.010 | avg_ACC: 26.179% 
[epoch:0, iter:281] avg_LOSS: 2.009 | avg_ACC: 26.231% 
[epoch:0, iter:282] avg_LOSS: 2.008 | avg_ACC: 26.270% 
[epoch:0, iter:283] avg_LOSS: 2.007 | avg_ACC: 26.307% 
[epoch:0, iter:284] avg_LOSS: 2.006 | avg_ACC: 26.327% 
[epoch:0, iter:285] avg_LOSS: 2.005 | avg_ACC: 26.386% 
[epoch:0, iter:286] avg_LOSS: 2.004 | avg_ACC: 26.423% 
[epoch:0, iter:287] avg_LOSS: 2.003 | avg_ACC: 26.453% 
[epoch:0, iter:288] avg_LOSS: 2.003 | avg_ACC: 26.469% 
[epoch:0, iter:289] avg_LOSS: 2.002 | avg_ACC: 26.495% 
[epoch:0, iter:290] avg_LOSS: 2.002 | avg_ACC: 26.497% 
[epoch:0, iter:291] avg_LOSS: 2.001 | avg_ACC: 26.505% 
[epoch:0, iter:292] avg_LOSS: 2.001 | avg_ACC: 26.531% 
[epoch:0, iter:293] avg_LOSS: 2.000 | avg_ACC: 26.543% 
