[epoch:0, iter:181] avg_LOSS: 1.596 | avg_ACC: 41.475% 
[epoch:0, iter:182] avg_LOSS: 1.595 | avg_ACC: 41.500% 
[epoch:0, iter:183] avg_LOSS: 1.594 | avg_ACC: 41.579% 
[epoch:0, iter:184] avg_LOSS: 1.592 | avg_ACC: 41.690% 
[epoch:0, iter:185] avg_LOSS: 1.590 | avg_ACC: 41.751% 
[epoch:0, iter:186] avg_LOSS: 1.588 | avg_ACC: 41.828% 
[epoch:0, iter:187] avg_LOSS: 1.586 | avg_ACC: 41.914% 
[epoch:0, iter:188] avg_LOSS: 1.585 | avg_ACC: 41.979% 
[epoch:0, iter:189] avg_LOSS: 1.583 | avg_ACC: 42.032% 
[epoch:0, iter:190] avg_LOSS: 1.583 | avg_ACC: 42.058% 
[epoch:0, iter:191] avg_LOSS: 1.581 | avg_ACC: 42.105% 
[epoch:0, iter:192] avg_LOSS: 1.578 | avg_ACC: 42.214% 
[epoch:0, iter:193] avg_LOSS: 1.576 | avg_ACC: 42.254% 
[epoch:0, iter:194] avg_LOSS: 1.574 | avg_ACC: 42.294% 
[epoch:0, iter:195] avg_LOSS: 1.573 | avg_ACC: 42.333% 
[epoch:0, iter:196] avg_LOSS: 1.571 | avg_ACC: 42.434% 
[epoch:0, iter:197] avg_LOSS: 1.571 | avg_ACC: 42.442% 
[epoch:0, iter:198] avg_LOSS: 1.570 | avg_ACC: 42.500% 
[epoch:0, iter:199] avg_LOSS: 1.569 | avg_ACC: 42.523% 
[epoch:0, iter:200] avg_LOSS: 1.567 | avg_ACC: 42.580% 
[epoch:0, iter:201] avg_LOSS: 1.565 | avg_ACC: 42.612% 
[epoch:0, iter:202] avg_LOSS: 1.563 | avg_ACC: 42.703% 
[epoch:0, iter:203] avg_LOSS: 1.561 | avg_ACC: 42.783% 
[epoch:0, iter:204] avg_LOSS: 1.559 | avg_ACC: 42.873% 
[epoch:0, iter:205] avg_LOSS: 1.558 | avg_ACC: 42.956% 
[epoch:0, iter:206] avg_LOSS: 1.557 | avg_ACC: 43.005% 
[epoch:0, iter:207] avg_LOSS: 1.555 | avg_ACC: 43.072% 
[epoch:0, iter:208] avg_LOSS: 1.553 | avg_ACC: 43.139% 
[epoch:0, iter:209] avg_LOSS: 1.551 | avg_ACC: 43.201% 
[epoch:0, iter:210] avg_LOSS: 1.548 | avg_ACC: 43.319% 
[epoch:0, iter:211] avg_LOSS: 1.547 | avg_ACC: 43.360% 
[epoch:0, iter:212] avg_LOSS: 1.546 | avg_ACC: 43.382% 
[epoch:0, iter:213] avg_LOSS: 1.546 | avg_ACC: 43.451% 
[epoch:0, iter:214] avg_LOSS: 1.544 | avg_ACC: 43.533% 
[epoch:0, iter:215] avg_LOSS: 1.542 | avg_ACC: 43.595% 
[epoch:0, iter:216] avg_LOSS: 1.540 | avg_ACC: 43.648% 
[epoch:0, iter:217] avg_LOSS: 1.539 | avg_ACC: 43.700% 
[epoch:0, iter:218] avg_LOSS: 1.537 | avg_ACC: 43.775% 
[epoch:0, iter:219] avg_LOSS: 1.536 | avg_ACC: 43.822% 
