[epoch:0, iter:296] LOSS: 1.527 | avg_ACC: 34.370% 
[epoch:0, iter:297] LOSS: 1.575 | avg_ACC: 34.401% 
[epoch:0, iter:298] LOSS: 1.482 | avg_ACC: 34.443% 
[epoch:0, iter:299] LOSS: 1.765 | avg_ACC: 34.464% 
[epoch:0, iter:300] LOSS: 1.541 | avg_ACC: 34.490% 
[epoch:0, iter:301] LOSS: 1.749 | avg_ACC: 34.510% 
[epoch:0, iter:302] LOSS: 1.562 | avg_ACC: 34.546% 
[epoch:0, iter:303] LOSS: 1.242 | avg_ACC: 34.617% 
[epoch:0, iter:304] LOSS: 1.666 | avg_ACC: 34.637% 
[epoch:0, iter:305] LOSS: 1.541 | avg_ACC: 34.672% 
[epoch:0, iter:306] LOSS: 1.681 | avg_ACC: 34.681% 
[epoch:0, iter:307] LOSS: 1.833 | avg_ACC: 34.721% 
[epoch:0, iter:308] LOSS: 1.466 | avg_ACC: 34.750% 
[epoch:0, iter:309] LOSS: 1.320 | avg_ACC: 34.815% 
[epoch:0, iter:310] LOSS: 1.607 | avg_ACC: 34.854% 
[epoch:0, iter:311] LOSS: 1.360 | avg_ACC: 34.928% 
[epoch:0, iter:312] LOSS: 1.243 | avg_ACC: 34.971% 
[epoch:0, iter:313] LOSS: 1.392 | avg_ACC: 35.029% 
[epoch:0, iter:314] LOSS: 1.450 | avg_ACC: 35.067% 
[epoch:0, iter:315] LOSS: 1.496 | avg_ACC: 35.089% 
[epoch:0, iter:316] LOSS: 1.728 | avg_ACC: 35.102% 
[epoch:0, iter:317] LOSS: 1.506 | avg_ACC: 35.114% 
[epoch:0, iter:318] LOSS: 1.632 | avg_ACC: 35.132% 
[epoch:0, iter:319] LOSS: 1.403 | avg_ACC: 35.168% 
[epoch:0, iter:320] LOSS: 1.591 | avg_ACC: 35.181% 
[epoch:0, iter:321] LOSS: 1.292 | avg_ACC: 35.222% 
[epoch:0, iter:322] LOSS: 1.544 | avg_ACC: 35.239% 
[epoch:0, iter:323] LOSS: 1.495 | avg_ACC: 35.265% 
[epoch:0, iter:324] LOSS: 1.452 | avg_ACC: 35.291% 
[epoch:0, iter:325] LOSS: 1.379 | avg_ACC: 35.312% 
[epoch:0, iter:326] LOSS: 1.382 | avg_ACC: 35.348% 
[epoch:0, iter:327] LOSS: 1.670 | avg_ACC: 35.355% 
[epoch:0, iter:328] LOSS: 1.366 | avg_ACC: 35.404% 
[epoch:0, iter:329] LOSS: 1.329 | avg_ACC: 35.448% 
[epoch:0, iter:330] LOSS: 1.481 | avg_ACC: 35.473% 
[epoch:0, iter:331] LOSS: 1.471 | avg_ACC: 35.513% 
[epoch:0, iter:332] LOSS: 1.690 | avg_ACC: 35.514% 
[epoch:0, iter:333] LOSS: 1.473 | avg_ACC: 35.539% 
[epoch:0, iter:334] LOSS: 1.311 | avg_ACC: 35.587% 
[epoch:0, iter:335] LOSS: 1.493 | avg_ACC: 35.611% 
[epoch:0, iter:336] LOSS: 1.592 | avg_ACC: 35.640% 
[epoch:0, iter:337] LOSS: 1.446 | avg_ACC: 35.678% 
[epoch:0, iter:338] LOSS: 1.373 | avg_ACC: 35.711% 
[epoch:0, iter:339] LOSS: 1.535 | avg_ACC: 35.762% 
[epoch:0, iter:340] LOSS: 1.405 | avg_ACC: 35.777% 
[epoch:0, iter:341] LOSS: 1.556 | avg_ACC: 35.791% 
[epoch:0, iter:342] LOSS: 1.687 | avg_ACC: 35.819% 
[epoch:0, iter:343] LOSS: 1.628 | avg_ACC: 35.824% 
[epoch:0, iter:344] LOSS: 1.602 | avg_ACC: 35.856% 
[epoch:0, iter:345] LOSS: 1.292 | avg_ACC: 35.910% 
[epoch:0, iter:346] LOSS: 1.542 | avg_ACC: 35.919% 
[epoch:0, iter:347] LOSS: 1.934 | avg_ACC: 35.928% 
[epoch:0, iter:348] LOSS: 1.516 | avg_ACC: 35.969% 
[epoch:0, iter:349] LOSS: 1.749 | avg_ACC: 35.960% 
[epoch:0, iter:350] LOSS: 1.496 | avg_ACC: 35.987% 
[epoch:0, iter:351] LOSS: 1.693 | avg_ACC: 36.000% 
[epoch:0, iter:352] LOSS: 1.430 | avg_ACC: 36.022% 
[epoch:0, iter:353] LOSS: 1.464 | avg_ACC: 36.044% 
[epoch:0, iter:354] LOSS: 1.484 | avg_ACC: 36.070% 
[epoch:0, iter:355] LOSS: 1.357 | avg_ACC: 36.114% 
[epoch:0, iter:356] LOSS: 1.476 | avg_ACC: 36.131% 
[epoch:0, iter:357] LOSS: 1.276 | avg_ACC: 36.169% 
[epoch:0, iter:358] LOSS: 1.362 | avg_ACC: 36.212% 
[epoch:0, iter:359] LOSS: 1.448 | avg_ACC: 36.229% 
[epoch:0, iter:360] LOSS: 1.765 | avg_ACC: 36.228% 
[epoch:0, iter:361] LOSS: 1.470 | avg_ACC: 36.266% 
[epoch:0, iter:362] LOSS: 1.299 | avg_ACC: 36.330% 
[epoch:0, iter:363] LOSS: 1.582 | avg_ACC: 36.325% 
[epoch:0, iter:364] LOSS: 1.678 | avg_ACC: 36.311% 
[epoch:0, iter:365] LOSS: 1.521 | avg_ACC: 36.336% 
[epoch:0, iter:366] LOSS: 1.428 | avg_ACC: 36.377% 
